Town,Total,White,Black / African American,American Indian / Alaska Native,Asian,Hispanic,Native Hawaiian / Pacific Islander,Some other race,Two or more races,Male,Female,Under 5 years,5 to 17 years,18 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and over,Median Age,Population in Households,Population in Group Quarters,Total Lang,Speak only English,Speak some other language,"Speak English ""very well""","Speak English ""well""","Speak English ""not well""","Speak English ""not at all""",Total MF,Male,Female,Working,Drove Alone,Carpooled,Bus or Trolley Bus,Streetcar or Trolley Car,Subway or Elevated,Railroad,Ferryboat,Taxicab,Motorcycle,Bicycle,  Walked,Other Means,Worked at Home,Mean Travel Time to Work (min),Total households,Average household size,1 Person Household,2 Person Household,3 Person Household,4 Person Household,5 Person Household,6 Person Household,7+ Person Household,Average Vehicles per Household,No vehicle available,1 vehicle available,2 vehicles available,3 vehicles available,4 vehicles available,5 or more vehicles available,Median household income ($),"Under 10,000","10,000 to 19,999","20,000 to 29,999","30,000 to 39,999","40,000 to 49,999","50,000 to 59,999","60,000 to 74,999","75,000 to 99,999","100,000 to 124,999","125,000 to 149,999","150,000 to 199,999","200,000 and up"
Leominster,40759,30745,1826,49,1104,5900,16,363,756,19768,20991,2417,6862,3347,5063,5640,6686,4957,2800,2987,40,40432,327,38342,29652,8690,4867,1736,1486,601,32144,15224,16920,19713,16653,1686,130,0,42,150,0,98,0,71,340,61,482,25.6,16767,2.41,5033,5443,2694,2231,936,283,147,1.61,1752,6467,5978,1852,595,123,55695,1139,1670,1867,1492,1367,1436,1533,2702,1442,1108,610,401
Leverett,1851,1690,22,3,29,39,0,5,63,922,929,65,290,109,159,198,292,429,206,103,49,1836,15,1786,1569,217,72,11,122,12,1565,760,805,972,774,100,0,0,0,0,0,0,0,11,16,0,71,24,762,2.41,178,308,133,97,28,12,6,2.15,10,210,292,186,35,29,69702,44,27,36,71,88,77,66,109,97,41,46,60
Lexington,31394,23138,457,21,6239,713,3,77,746,14904,16490,1438,6769,1387,1593,4123,5633,4600,2726,3125,46,30871,523,29956,21685,8271,6331,1204,605,131,24012,11098,12914,14323,10809,1162,213,52,588,68,0,31,0,74,168,56,1102,27.9,11530,2.68,2416,3636,2184,2217,805,197,75,1.8,441,3274,6277,1221,275,42,130637,290,446,598,400,451,361,656,1018,1275,1012,1812,3211
Leyden,711,693,0,0,8,8,0,0,2,364,347,21,107,39,65,61,175,163,61,19,49,711,0,690,676,14,14,0,0,0,565,272,293,417,386,6,0,0,0,0,0,0,0,0,4,0,21,28.2,288,2.47,53,124,53,46,7,4,1,1.97,13,71,138,49,13,4,74531,14,15,30,21,20,16,29,92,20,7,19,5
Lincoln,6362,5266,224,10,347,316,6,21,172,3048,3314,380,1405,277,478,766,1043,940,559,514,43,6361,1,5982,5477,505,475,30,0,0,4638,2137,2501,2996,2102,160,25,0,90,135,0,0,7,81,95,0,301,26,2404,2.65,520,828,398,400,185,57,16,2.12,46,428,1391,310,190,39,121104,25,58,51,139,96,105,202,211,352,188,244,733
Longmeadow,15784,14322,155,4,743,370,3,12,175,7385,8399,735,3269,1084,786,1918,2684,2317,1347,1644,45,15256,528,15049,13474,1575,1179,224,172,0,12362,5660,6702,7081,6205,352,15,0,0,0,0,0,0,46,63,12,388,22.3,5741,2.66,1202,1959,995,994,432,121,38,1.92,340,1281,2992,878,143,107,92862,195,269,266,426,289,353,546,666,789,578,468,896
Lowell,106519,56280,6367,137,21337,18396,34,1554,2414,52871,53648,7828,17432,14377,17130,14218,14437,10379,5542,5176,33,102173,4346,98691,56792,41899,23372,9250,6421,2856,82804,39741,43063,48799,37699,6201,620,0,136,461,0,185,15,83,1877,564,958,25.3,38470,2.66,11307,10482,6483,5111,2751,1230,1106,1.47,5874,15334,12614,3040,1048,560,50192,3598,4918,3565,3436,3647,3272,4765,5359,2534,1501,1368,507
Ludlow,21103,18963,485,14,170,1183,8,45,235,10839,10264,876,3185,1892,2435,2945,3575,2700,1737,1758,43,19871,1232,20227,15988,4239,2153,1091,640,355,17654,8870,8784,9520,8491,811,25,0,0,0,0,0,0,27,12,0,154,21.9,8080,2.46,2124,2756,1403,1212,420,110,55,1.83,436,2505,3648,1057,341,93,61008,218,784,788,727,742,692,1066,1375,872,329,261,226
Lunenburg,10086,9451,79,16,153,240,0,15,132,5005,5081,488,1825,672,858,1401,1886,1572,794,590,44,10077,9,9598,9058,540,404,136,0,0,7875,3901,3974,5199,4270,352,14,0,9,14,0,0,14,0,89,71,366,31,3835,2.63,793,1364,690,624,242,89,33,2.16,79,864,1750,747,315,80,86568,77,265,159,309,239,190,383,640,656,393,325,199
Lynn,90329,42969,9494,178,6210,29013,37,407,2021,44225,46104,6700,15784,9734,13347,12298,12658,9513,5302,4993,35,89494,835,83629,50216,33413,16653,6701,7212,2847,70922,33736,37186,41386,29437,4911,2260,0,850,368,0,114,2,389,1755,423,877,26.7,33310,2.69,10206,8690,5167,4474,2449,1203,1121,1.3,6954,13539,9705,2214,692,206,43200,4385,4182,3425,3692,3246,2614,3026,3763,2391,1312,822,452
Lynnfield,11596,10838,48,5,379,202,0,30,94,5659,5937,521,2416,655,734,1542,2090,1591,1015,1032,45,11585,11,11075,9866,1209,894,166,96,53,9151,4352,4799,5523,4685,246,0,0,102,58,0,0,0,0,31,0,401,27.8,4179,2.77,784,1363,736,795,370,100,31,2.04,131,966,1992,862,149,79,87590,163,217,235,309,263,233,309,606,422,373,370,679
Malden,59450,31211,8483,76,11898,4992,14,1250,1526,28794,30656,3768,7920,5621,11213,9010,8542,6387,3594,3395,36,59077,373,55682,29021,26661,12684,8613,3805,1559,48122,23532,24590,30488,17786,2971,1815,186,5404,280,0,58,22,71,926,187,782,30.8,23673,2.5,7112,7010,4153,3038,1429,555,376,1.34,4630,9693,6785,1901,530,134,56347,1773,2438,2505,2101,1993,1562,2432,4010,2041,1212,1096,510
Manchester-by-the-Sea,5136,4952,6,11,41,76,0,1,49,2406,2730,218,997,231,283,603,946,849,566,443,48,5127,9,4918,4587,331,279,18,34,0,4043,2007,2036,2274,1487,96,0,0,19,251,0,0,0,0,132,12,277,32.3,2147,2.39,619,746,313,319,106,38,6,1.84,110,691,880,386,54,26,105000,138,138,83,216,42,162,113,131,333,132,235,424
Mansfield,23184,20899,601,59,791,487,4,60,283,11517,11667,1339,5432,1525,2238,3796,4472,2474,1028,880,39,23156,28,21845,19971,1874,1494,278,67,35,16882,8531,8351,11798,9087,1032,0,0,74,1060,0,0,0,0,59,64,422,33.9,8399,2.76,1934,2258,1478,1746,706,206,71,1.88,228,2764,3766,1187,375,79,94529,113,665,422,420,742,557,516,1013,1248,930,860,913
Marblehead,19808,18818,131,12,198,417,1,31,200,9356,10452,1025,3926,891,1178,2620,3571,3234,1845,1518,46,19698,110,18783,17161,1622,1375,172,75,0,15363,7313,8050,9724,7205,475,144,14,177,175,35,0,0,51,340,161,947,32.8,8144,2.42,2347,2672,1279,1220,496,106,24,1.8,239,2775,3764,1118,223,25,97097,332,454,495,436,381,607,533,864,941,544,964,1593
Marion,4907,4509,82,5,31,52,2,122,104,2309,2598,207,917,280,271,619,805,762,516,530,47,4650,257,4700,4320,380,323,57,0,0,4184,1945,2239,2343,1942,207,11,0,0,22,0,0,0,15,24,10,112,28.6,1896,2.45,485,709,265,289,108,28,12,2.06,95,346,918,431,93,13,101006,46,93,113,40,104,62,212,246,382,179,220,199
Marlborough,38499,28953,981,52,1927,4174,16,1383,1013,19063,19436,2560,5765,3013,5933,5884,6250,4257,2386,2451,39,37838,661,35939,27499,8440,4853,1900,1220,467,30932,15291,15641,21189,16799,2673,243,0,33,77,0,16,22,18,580,146,582,28.1,15395,2.46,4411,5033,2539,2113,846,274,179,1.68,1618,5384,5728,1916,539,210,71617,779,1103,1427,1086,1267,955,1513,1699,1910,1372,1130,1154
Marshfield,25132,24127,110,35,178,315,4,131,232,12231,12901,1394,4912,1616,1974,3483,4598,3763,2094,1298,43,25063,69,23738,22767,971,762,88,91,30,19330,9456,9874,12471,10445,763,21,0,221,107,29,17,0,0,47,84,737,35.9,9526,2.63,2151,3151,1633,1599,721,214,57,1.95,311,2464,4731,1513,394,113,86486,277,620,515,468,643,689,1033,1247,1031,922,1139,942
Mashpee,14006,12281,312,405,168,315,9,133,383,6511,7495,645,2052,906,1270,1616,2175,2044,1721,1577,48,13906,100,13361,12367,994,675,212,107,0,11596,5516,6080,6902,5919,356,76,0,0,0,16,0,0,0,84,68,383,24.2,6118,2.27,1871,2334,871,638,295,74,35,1.87,253,1970,2644,867,359,25,62645,217,443,500,693,595,481,750,989,517,321,306,306
Mattapoisett,6045,5770,41,7,36,57,1,61,72,2943,3102,225,1003,398,338,746,1081,1033,692,529,48,6041,4,5820,5507,313,174,125,14,0,5124,2514,2610,3192,2567,234,0,0,10,57,0,0,19,0,37,15,253,28.2,2505,2.41,627,980,383,343,118,43,11,1.93,109,745,1083,370,184,14,74877,121,190,148,234,139,150,273,442,209,175,209,215
Maynard,10106,9110,159,12,274,377,1,52,121,4837,5269,714,1543,587,1186,1649,1794,1341,712,580,41,10090,16,9392,8662,730,523,59,148,0,7911,3725,4186,5188,4436,285,20,0,14,67,0,0,15,24,144,0,183,28.6,4239,2.38,1301,1329,715,602,213,56,23,1.7,251,1651,1680,487,129,41,75597,129,399,391,277,271,229,399,835,545,325,270,169
Medfield,12024,11293,72,8,325,180,0,15,131,5828,6196,606,3157,634,559,1579,2552,1565,736,636,43,11982,42,11418,10560,858,693,121,44,0,8717,4140,4577,5608,4094,193,52,0,44,529,0,0,0,0,61,16,619,33.5,4117,2.91,698,1187,746,916,439,107,24,2.11,203,597,2222,790,234,71,126048,47,91,181,243,197,141,227,428,478,372,713,999
Medford,56173,42789,4787,81,3856,2447,7,943,1263,26846,29327,2923,6415,6470,10118,7712,7707,6265,3844,4719,38,54214,1959,53250,39280,13970,7636,4144,1781,409,47780,22015,25765,29541,19024,2720,1858,144,2745,304,0,39,44,377,1391,72,823,27.7,22810,2.38,6747,7744,3885,2727,1148,368,191,1.51,2471,9707,8180,1753,398,301,70102,1444,1754,1765,1675,1951,1518,2192,3385,2598,1732,1953,843
Medway,12752,11924,124,20,277,250,1,10,146,6205,6547,693,2893,815,982,1899,2579,1566,650,675,41,12600,152,12059,10982,1077,740,267,70,0,9415,4531,4884,6312,5439,279,9,0,18,182,0,0,0,7,79,15,284,34,4435,2.84,828,1280,861,917,382,128,39,2.1,211,905,2010,955,265,89,102002,89,198,169,204,250,286,386,539,686,490,602,536
Melrose,26983,24161,625,11,1020,663,1,100,402,12692,14291,1598,4343,1484,3261,4151,4300,3586,2087,2173,42,26716,267,25385,21437,3948,2189,1220,439,100,21310,10110,11200,13569,9326,881,134,33,1712,320,0,0,0,47,555,56,505,29.9,11213,2.38,3509,3454,1820,1619,596,149,66,1.61,1112,3891,4968,822,365,55,82482,591,859,685,707,612,673,985,1882,1270,1006,1117,826
Merrimac,6338,6067,36,8,41,115,0,3,68,3057,3281,221,1321,451,438,917,1274,874,463,379,44,6315,23,6117,5904,213,165,12,36,0,4957,2437,2520,3344,2780,222,13,0,0,0,0,0,0,0,113,29,187,27.6,2417,2.61,547,810,423,404,162,49,22,2.01,31,758,1111,279,152,86,75517,27,129,138,243,151,226,283,399,341,127,230,123
Methuen,47255,35387,935,68,1741,8531,1,111,481,22511,24744,2866,8399,3945,5682,6681,7483,5678,3118,3403,39,46835,420,44389,32342,12047,7476,2295,1350,926,35969,16589,19380,22126,18581,2255,70,0,0,147,0,164,21,12,225,117,534,25.4,17529,2.67,4373,5155,3084,2885,1273,507,252,1.74,1330,6397,6423,2369,839,171,61822,965,1696,1576,1404,1581,1316,1710,2136,2213,1087,1273,572
Middleborough,23116,21730,342,48,168,367,2,119,340,11292,11824,1325,4046,1749,2415,3397,3765,3018,1972,1429,41,22603,513,21791,20341,1450,1078,319,44,9,17315,8319,8996,10116,8538,856,0,0,69,155,0,0,0,23,151,58,266,33.2,8468,2.67,1755,2965,1511,1296,629,206,106,2.02,366,2093,3813,1593,409,194,70757,351,448,480,631,699,965,960,1452,1163,622,494,203
Middlefield,521,505,0,0,11,2,0,0,3,266,255,19,70,31,45,53,125,111,47,20,48,521,0,502,491,11,7,4,0,0,355,186,169,256,221,23,0,0,0,0,0,0,0,0,9,0,3,35.5,218,2.39,51,96,25,34,8,3,1,2.22,0,30,121,57,10,0,66250,0,15,14,33,21,26,0,47,26,21,15,0
Middleton,8987,7845,153,13,202,640,0,15,119,5030,3957,339,1583,809,963,1418,1650,1017,660,548,42,7772,1215,8648,7326,1322,840,351,99,32,7003,4066,2937,3611,3003,147,22,0,25,140,0,14,0,0,15,0,245,29.8,2898,2.68,673,910,438,539,254,59,25,1.87,160,805,1343,447,119,24,87728,15,165,291,184,164,109,281,607,304,138,291,349
Milford,27999,23104,535,33,674,2315,2,716,620,13939,14060,1891,4528,2170,3782,4202,4437,3371,1848,1770,39,27822,177,26108,19646,6462,3268,1507,1089,598,21897,10876,11021,14615,11811,1650,46,0,20,132,0,32,0,37,300,120,467,27.3,10872,2.56,2764,3457,1945,1746,631,205,124,1.8,627,3535,4732,1446,445,87,66636,402,806,1086,887,939,837,1036,1511,1268,733,783,584
Millbury,13261,12309,165,20,248,306,8,27,178,6383,6878,701,2100,959,1451,2064,2190,1727,1057,1012,42,13108,153,12560,11415,1145,883,126,97,39,10947,5106,5841,7054,6011,709,22,0,24,24,12,0,0,0,48,9,195,25.4,5294,2.48,1370,1840,874,776,320,81,33,1.79,348,1626,2452,556,298,14,67448,170,397,429,604,333,362,585,987,587,436,226,178
Millis,7891,7315,57,21,238,136,0,21,103,3863,4028,469,1485,465,705,1165,1505,1160,545,392,43,7850,41,7422,6785,637,485,95,57,0,6120,2896,3224,3851,3388,122,0,0,27,63,0,0,0,9,70,18,154,34.3,3030,2.59,716,990,508,548,200,51,17,1.92,47,814,1626,461,55,27,85472,27,196,140,178,260,330,236,430,413,363,271,186
Millville,3190,3073,13,7,29,41,0,0,27,1585,1605,167,703,255,336,585,545,338,141,120,38,3188,2,3023,2844,179,95,25,59,0,2324,1122,1202,1607,1477,78,0,0,5,0,0,0,0,0,11,0,36,29.8,1094,2.91,174,328,215,232,102,29,14,2.17,51,211,513,204,56,59,77250,13,46,52,84,152,63,129,218,68,86,130,53
Milton,27003,20489,3705,30,1111,881,5,178,604,12736,14267,1544,5139,2862,1955,3422,4238,3686,1861,2296,41,25487,1516,25459,21468,3991,3070,587,290,44,20595,9405,11190,12352,9341,877,242,7,768,217,0,6,0,20,293,30,551,29.3,9274,2.75,2131,2649,1660,1668,759,284,123,1.86,594,2519,4283,1376,445,57,97421,323,482,634,416,395,418,616,1536,881,754,1215,1604
Monson,8560,8172,65,18,52,153,0,7,93,4184,4376,369,1559,647,709,1200,1690,1288,655,443,43,8441,119,8191,8045,146,135,0,11,0,6863,3424,3439,4576,3987,219,0,0,31,21,0,0,15,0,53,0,250,29.5,3279,2.57,753,1159,554,513,196,69,35,2.02,153,905,1341,544,278,58,73004,190,165,218,327,180,303,304,533,510,291,171,87
Montague,8437,7621,81,15,67,438,1,17,197,4106,4331,445,1118,746,1030,1101,1376,1275,630,716,43,8295,142,7992,7323,669,434,109,104,22,7026,3413,3613,4137,3281,574,13,0,0,0,0,0,0,28,161,12,68,25.4,3694,2.25,1206,1306,606,363,140,43,30,1.58,421,1405,1363,374,84,47,42140,323,622,284,460,486,173,343,549,239,103,81,31
Monterey,961,938,14,0,1,6,0,0,2,458,503,40,123,49,77,108,132,215,129,88,51,923,38,921,885,36,36,0,0,0,660,382,278,286,180,16,0,0,0,0,0,0,0,0,36,0,54,18.2,426,2.17,122,203,39,41,14,5,2,1.73,16,122,256,23,10,-1,41625,21,38,31,113,40,4,33,64,38,7,10,27
Montgomery,838,805,0,6,3,10,0,0,14,422,416,39,118,62,68,105,175,159,76,36,47,838,0,799,732,67,67,0,0,0,630,352,278,442,390,27,0,0,0,0,0,0,3,0,0,0,22,33.5,330,2.54,68,133,48,54,21,5,1,2.22,3,62,164,69,26,6,73438,3,7,15,46,37,29,29,57,24,50,17,16
Mount Washington,167,163,1,0,0,1,0,0,2,85,82,4,16,10,7,17,40,29,34,10,51,167,0,163,151,12,12,0,0,0,118,55,63,62,49,3,3,0,0,2,0,0,0,0,0,0,5,28.6,74,2.26,23,31,9,8,1,1,1,1.94,0,22,43,5,0,4,65833,0,3,6,9,10,8,11,9,6,5,0,7
Nahant,3410,3257,15,3,58,52,0,5,20,1638,1772,120,436,181,229,396,661,657,363,367,51,3356,54,3290,2959,331,310,21,0,0,2869,1373,1496,1906,1563,137,21,0,105,42,0,0,0,0,10,10,18,29.2,1540,2.18,516,572,196,193,49,9,5,1.76,107,468,693,231,41,0,81831,68,94,107,84,123,73,166,164,136,110,217,198
Nantucket,10172,8192,664,6,118,957,1,79,155,5205,4967,684,1424,636,1591,1689,1636,1285,692,535,39,10114,58,9488,8051,1437,1201,156,80,0,8180,4288,3892,5814,3258,1031,29,16,0,0,0,16,16,133,691,66,558,10.3,4229,2.39,1257,1468,645,532,208,70,49,1.92,222,1224,1802,746,133,102,83347,193,205,305,279,193,186,418,730,395,486,233,606
Needham,28886,25730,275,10,1753,618,8,56,436,13913,14973,1869,6270,1527,1694,4046,4940,3840,2053,2647,43,28113,773,27017,23091,3926,2907,599,365,55,21695,10168,11527,13041,9728,583,8,32,259,899,0,0,0,83,451,44,954,27.3,10341,2.72,2258,3140,1651,2177,852,208,55,1.79,643,2879,5271,1150,362,36,114365,297,573,508,266,365,443,882,968,1317,704,1131,2887
New Bedford,95072,64598,4919,409,879,15916,15,4224,4112,45593,49479,6560,15503,9570,13894,12168,12983,10491,6371,7532,37,93106,1966,88512,54834,33678,18476,5940,5568,3694,74040,33949,40091,39914,30511,5811,712,0,53,11,0,207,0,105,1426,380,698,23.1,38761,2.4,12550,11487,6621,4778,2107,764,454,1.31,7115,17052,11213,2532,631,218,36172,5069,7392,4464,3716,3610,3033,3701,4002,1757,905,796,316
New Braintree,999,968,3,4,6,8,0,0,10,501,498,44,164,87,92,138,205,149,78,42,43,995,4,955,923,32,27,5,0,0,780,407,373,528,454,39,0,0,0,0,0,0,0,0,3,9,23,32,370,2.69,65,144,61,62,24,9,5,2.45,3,73,131,102,41,20,85417,5,19,12,17,36,34,24,101,35,58,21,8
New Marlborough,1509,1439,18,1,12,27,0,0,12,765,744,62,241,80,94,183,274,274,183,118,49,1475,34,1447,1404,43,39,0,4,0,1290,636,654,753,513,64,0,0,10,14,0,0,0,0,64,4,84,31.4,630,2.34,163,260,99,69,23,11,5,1.94,19,194,274,111,17,15,57917,16,101,21,58,46,80,105,83,47,10,44,19
New Salem,990,944,1,2,21,10,0,2,10,499,491,33,172,61,69,131,227,181,77,39,47,990,0,957,913,44,41,0,3,0,787,391,396,500,410,54,0,0,0,0,0,0,0,4,16,0,16,37.1,404,2.45,94,166,61,54,19,5,5,1.87,22,96,215,55,16,0,61471,11,24,20,30,56,51,42,82,35,32,18,3
Newbury,6666,6468,15,10,43,67,0,6,57,3251,3415,293,1212,363,451,835,1374,1214,548,376,46,6561,105,6373,6134,239,209,0,30,0,5345,2730,2615,3439,2887,50,16,0,0,78,0,0,10,39,59,29,271,27.6,2594,2.53,597,949,420,411,157,47,13,2.01,117,588,1235,503,113,38,91052,139,124,96,195,267,100,177,309,214,308,334,331
Newburyport,17416,16574,95,17,194,291,1,48,196,8093,9323,934,2696,824,1516,2453,3245,2868,1488,1392,46,17030,386,16482,14859,1623,991,486,146,0,14186,6519,7667,9132,6944,486,242,0,0,140,0,12,18,77,319,104,790,30.1,7622,2.23,2621,2584,1031,937,337,85,27,1.68,592,2459,3562,832,126,51,76300,415,528,533,624,482,520,671,857,740,600,855,797
Newton,85146,67801,2008,56,9759,3476,18,294,1734,39843,45303,4497,13919,10318,8268,10755,12621,11789,6197,6782,41,78043,7103,80649,61467,19182,13007,3858,1996,321,68314,31295,37019,39508,25834,3015,1792,664,1598,989,0,31,9,276,1620,271,3409,26.7,31168,2.5,7993,10376,5413,4862,1839,509,176,1.67,1887,11080,14428,3016,584,173,107696,1551,1480,1292,1355,1604,1787,2339,3225,3129,2459,3404,7543
Norfolk,11227,9493,666,21,169,802,0,5,71,6757,4470,529,2051,631,1179,1914,2371,1573,650,329,42,8986,2241,10698,9305,1393,889,217,261,26,8900,5756,3144,4247,3348,177,9,0,60,371,25,0,0,0,16,19,222,34.8,3049,2.95,379,1012,594,658,311,70,25,2.2,47,501,1599,663,181,58,113266,71,110,81,77,161,169,174,444,369,406,450,537
North Adams,13708,12498,279,39,97,476,8,13,298,6448,7260,749,1874,2120,1561,1531,1975,1626,1035,1237,39,12631,1077,12959,12340,619,409,133,77,0,11808,5791,6017,5970,4276,790,62,0,0,0,0,0,4,9,669,63,97,18.6,5868,2.15,2189,1969,858,531,202,75,44,1.32,1155,2460,1668,427,122,36,35401,692,1026,894,537,591,390,634,532,367,142,42,21
North Andover,28352,24355,427,22,1783,1398,3,32,332,13535,14817,1655,5763,2208,2637,4136,4813,3372,1738,2030,40,27501,851,26697,23450,3247,2343,629,266,9,21560,10202,11358,13649,11127,834,68,0,61,349,0,0,0,12,440,134,624,30.5,10516,2.62,2688,3106,1724,1928,793,216,61,1.84,509,3282,4718,1500,377,130,91741,321,752,604,603,504,558,856,1428,1082,857,1207,1744
North Attleborough,28712,26129,417,32,1001,675,7,65,386,13993,14719,1801,5517,1979,3345,4707,4994,3385,1641,1343,39,28535,177,26911,24946,1965,1171,470,313,11,21889,11047,10842,14892,12821,904,42,0,48,511,0,0,8,63,155,46,294,29.2,10943,2.61,2725,3288,1966,1902,761,225,76,1.91,393,3183,5294,1353,577,143,77669,298,688,768,844,857,881,1035,1799,1475,879,855,564
North Brookfield,4680,4482,16,14,13,89,3,1,62,2298,2382,270,784,372,515,645,815,647,329,303,42,4675,5,4410,4244,166,140,0,26,0,3714,1847,1867,2434,2000,231,0,0,0,0,0,0,0,10,52,0,141,31.7,1862,2.51,472,636,335,243,131,25,20,1.82,83,651,834,168,67,59,57196,97,176,41,259,236,131,277,265,177,45,78,80
North Reading,14892,13991,84,16,397,231,0,24,149,7325,7567,760,3032,916,1320,2251,2781,1987,1010,835,42,14757,135,14132,13063,1069,728,211,130,0,11081,5475,5606,7184,5941,419,56,0,48,137,0,0,0,0,97,30,456,28.9,5439,2.71,1183,1662,957,1027,452,113,45,2.09,171,1105,2755,993,332,83,96016,131,373,193,176,222,366,361,1063,727,522,761,544
Northampton,28549,24030,700,59,1148,1928,7,84,593,12312,16237,1086,3530,4100,3925,3404,4398,4243,1906,1957,40,25393,3156,27463,24054,3409,2259,682,351,117,24327,9707,14620,15341,9844,1234,333,0,0,0,0,0,23,478,2019,75,1335,20.6,12000,2.12,4466,4141,1634,1246,380,98,35,1.49,1248,5546,3708,1145,271,82,52868,1027,1197,1029,1190,1213,894,1343,1450,1003,471,539,644
Northborough,14155,12160,127,10,1153,381,2,47,275,6946,7209,698,3075,791,1109,2022,2741,1890,932,897,43,13973,182,13457,11552,1905,1288,492,125,0,10612,4989,5623,7137,6073,418,36,0,29,85,14,0,0,0,68,45,369,26.5,5110,2.73,983,1642,954,1011,378,99,43,2.08,88,1124,2615,996,176,111,102969,121,318,269,199,214,174,482,689,705,563,617,759
Northbridge,15707,14720,96,22,159,491,1,17,201,7571,8136,1038,2985,1147,1657,2463,2533,1814,945,1125,40,15419,288,14669,13770,899,621,233,45,0,11661,5633,6028,7498,6221,757,0,0,0,56,0,0,0,0,194,66,204,27.5,5896,2.62,1459,1821,1029,978,413,145,51,1.89,237,1741,2879,605,337,97,68016,93,628,505,307,608,531,426,828,804,537,320,309
Northfield,3032,2915,13,5,8,56,0,1,34,1498,1534,124,577,185,225,418,536,519,225,223,45,3002,30,2908,2834,74,74,0,0,0,2467,1219,1248,1644,1440,86,0,0,0,0,0,17,0,0,50,0,51,25.3,1226,2.45,302,455,210,171,64,15,9,1.98,10,346,603,205,45,17,70606,9,114,91,115,68,118,156,240,118,141,21,35
Norwell,10506,10011,63,8,181,128,0,19,96,5035,5471,583,2412,534,537,1410,1864,1491,879,796,44,10258,248,9923,9330,593,455,105,33,0,7567,3634,3933,4534,3574,277,61,0,130,78,39,0,10,0,60,30,275,36.8,3553,2.89,607,1117,614,702,367,105,41,2.06,118,653,1886,726,140,30,108944,35,187,208,254,194,142,204,407,526,280,335,781
Oak Bluffs,4527,3737,209,41,52,110,1,167,210,2223,2304,264,603,269,534,630,773,662,400,392,44,4452,75,4263,3684,579,381,39,159,0,3469,1481,1988,215,161,35,0,0,0,0,0,0,0,0,10,0,9,18.3,1989,2.24,699,664,277,218,92,24,15,1.87,132,539,878,333,108,-1,59156,79,257,145,213,207,113,126,393,147,95,91,123
Oakham,1902,1819,7,0,8,46,1,4,17,955,947,72,349,146,170,252,390,336,108,79,44,1895,7,1830,1757,73,65,8,0,0,1499,741,758,2857,2265,132,42,0,14,13,0,0,0,15,54,0,322,33.8,685,2.77,103,264,124,120,47,19,8,2.28,4,124,329,152,56,20,77396,22,17,67,47,37,58,71,168,62,86,36,14
Orange,7839,7309,75,29,74,222,1,14,115,3813,4026,425,1372,636,873,989,1300,1100,603,541,41,7789,50,7414,7107,307,205,13,58,31,6287,2923,3364,4499,3949,232,0,0,0,23,0,0,18,0,42,0,235,27.8,3172,2.46,913,1072,499,388,179,82,39,1.7,331,959,1412,310,132,28,42809,198,665,277,389,250,339,433,288,136,149,37,11
Otis,1612,1559,2,4,9,18,0,1,19,821,791,68,197,82,145,211,321,296,186,106,48,1612,0,1544,1461,83,69,14,0,0,1059,541,518,5830,5275,234,0,0,0,40,0,0,0,17,50,9,205,27.4,708,2.28,168,331,99,73,30,6,1,1.83,10,224,357,112,5,0,63750,40,59,50,49,60,94,84,101,46,22,14,89
Oxford,13709,12791,134,16,141,464,2,10,151,6719,6990,800,2481,1018,1473,2080,2428,1821,913,695,41,13640,69,12909,11953,956,746,120,90,0,10730,5294,5436,219,175,26,0,0,0,0,0,0,0,0,0,0,18,26.5,5272,2.59,1353,1609,978,811,332,128,61,1.85,220,1857,2113,770,231,81,65845,323,533,389,465,289,384,650,766,705,283,360,125
Palmer,12140,11446,122,20,107,291,0,6,148,6042,6098,576,1975,1056,1354,1663,2168,1600,813,935,42,12080,60,11564,10878,686,472,123,52,39,10011,4857,5154,3490,2823,199,0,0,0,35,0,0,19,0,68,37,309,24.5,5099,2.37,1518,1736,848,621,252,92,32,1.71,486,1605,2239,509,198,62,50638,381,613,518,501,488,501,431,792,454,192,79,149
Paxton,4806,4445,92,3,62,151,1,3,49,2404,2402,239,832,804,306,616,758,590,358,303,39,4291,515,4567,4282,285,255,20,10,0,3715,1779,1936,6690,5640,641,0,0,0,64,0,18,0,0,35,22,270,27.7,1546,2.78,246,553,286,286,131,32,12,2.05,36,288,844,324,53,1,100333,48,96,28,91,88,78,102,229,321,180,138,147
Peabody,51251,44934,970,45,940,3212,5,573,572,24323,26928,2493,7289,3742,5799,6583,8152,6673,4429,6091,45,50731,520,48758,39216,9542,5735,2152,1353,302,41642,19064,22578,13780,10920,763,192,21,526,672,0,0,0,27,167,51,441,25.2,21313,2.38,6682,6766,3358,2862,1140,329,176,1.69,2302,6929,8311,2768,844,159,65515,1194,2044,1659,1893,1489,1503,2669,3176,2176,1386,1424,700
Pelham,1321,1209,22,2,23,41,0,2,22,641,680,50,191,107,106,139,233,276,122,97,49,1321,0,1271,1193,78,65,13,0,0,1064,489,575,1078,950,55,0,0,0,0,0,0,3,0,24,6,40,23.7,549,2.41,117,225,109,74,14,9,1,2.01,7,146,265,98,32,1,81765,6,32,24,21,36,41,73,130,32,38,63,53
